name,stargazers,primaryLanguage,issues
react-native,{'totalCount': 86986},{'name': 'JavaScript'},"{'totalCount': 19317, 'nodes': [{'id': 'MDU6SXNzdWU1NTk4ODUzMA=='}, {'id': 'MDU6SXNzdWU1NjA2MDc5NA=='}, {'id': 'MDU6SXNzdWU1NjA2NDk5NA=='}, {'id': 'MDU6SXNzdWU1NjA4MzE1NQ=='}, {'id': 'MDU6SXNzdWU1NjA4NzAyOA=='}, {'id': 'MDU6SXNzdWU1NjA5MDE5MA=='}, {'id': 'MDU6SXNzdWU1NjA5MjcwNw=='}, {'id': 'MDU6SXNzdWU1NjA5MzUxMQ=='}, {'id': 'MDU6SXNzdWU1NjA5NDg2OA=='}, {'id': 'MDU6SXNzdWU1NjEwMzYwMA=='}]}"
Python-100-Days,{'totalCount': 84832},{'name': 'Jupyter Notebook'},"{'totalCount': 342, 'nodes': [{'id': 'MDU6SXNzdWUzMjU1ODc1MTY='}, {'id': 'MDU6SXNzdWUzMjU2Njc2NjQ='}, {'id': 'MDU6SXNzdWUzMjY3MDc3Njg='}, {'id': 'MDU6SXNzdWUzMjcyMzIyMDE='}, {'id': 'MDU6SXNzdWUzMjc1OTQ4NzQ='}, {'id': 'MDU6SXNzdWUzMjkxMDQ4Mjg='}, {'id': 'MDU6SXNzdWUzMzA5MTUxNDQ='}, {'id': 'MDU6SXNzdWUzMzEzOTU3MDU='}, {'id': 'MDU6SXNzdWUzMzE0OTI4NTY='}, {'id': 'MDU6SXNzdWUzMzE4NTkxNjI='}]}"
electron,{'totalCount': 82479},{'name': 'C++'},"{'totalCount': 12874, 'nodes': [{'id': 'MDU6SXNzdWUxNDAxNTAyOQ=='}, {'id': 'MDU6SXNzdWUxNDMyNjE5OQ=='}, {'id': 'MDU6SXNzdWUxNDMzMzcyNQ=='}, {'id': 'MDU6SXNzdWUxNDMzNDc4NQ=='}, {'id': 'MDU6SXNzdWUxNDM4NDgxMg=='}, {'id': 'MDU6SXNzdWUxNDQxNjc4NQ=='}, {'id': 'MDU6SXNzdWUxNDQyMDQxMw=='}, {'id': 'MDU6SXNzdWUxNDQyNzY5NA=='}, {'id': 'MDU6SXNzdWUxNDQzMTAxNA=='}, {'id': 'MDU6SXNzdWUxNDQzMTQxNQ=='}]}"
awesome-python,{'totalCount': 82150},{'name': 'Python'},"{'totalCount': 166, 'nodes': [{'id': 'MDU6SXNzdWUzNjgzNzc5OQ=='}, {'id': 'MDU6SXNzdWUzNjg5MDQwMg=='}, {'id': 'MDU6SXNzdWUzNjk2NjQ2OQ=='}, {'id': 'MDU6SXNzdWUzNjk5MjAzOQ=='}, {'id': 'MDU6SXNzdWUzNzAzODIyMQ=='}, {'id': 'MDU6SXNzdWUzNzEzNjA3MA=='}, {'id': 'MDU6SXNzdWUzNzI3NzkxNQ=='}, {'id': 'MDU6SXNzdWUzNzM0NTgyOQ=='}, {'id': 'MDU6SXNzdWUzNzM4NTczNA=='}, {'id': 'MDU6SXNzdWUzNzUzNDQ3OA=='}]}"
public-apis,{'totalCount': 80906},{'name': 'Python'},"{'totalCount': 128, 'nodes': [{'id': 'MDU6SXNzdWUxNDIyNjg2NTQ='}, {'id': 'MDU6SXNzdWUxNDIzNzAwMjQ='}, {'id': 'MDU6SXNzdWUxNDI3NDUwMzg='}, {'id': 'MDU6SXNzdWUxNDI3Nzg3Mjk='}, {'id': 'MDU6SXNzdWUxNDMxMjU3ODI='}, {'id': 'MDU6SXNzdWUxNDM0MTA2MzQ='}, {'id': 'MDU6SXNzdWUxNDM0NDI0Mzg='}, {'id': 'MDU6SXNzdWUxNDM3OTEwNjI='}, {'id': 'MDU6SXNzdWUxNDM5MzkyODY='}, {'id': 'MDU6SXNzdWUxNDM5MzkzNTk='}]}"
create-react-app,{'totalCount': 78461},{'name': 'JavaScript'},"{'totalCount': 5770, 'nodes': [{'id': 'MDU6SXNzdWUxNjU5OTM3ODY='}, {'id': 'MDU6SXNzdWUxNjU5OTUxODE='}, {'id': 'MDU6SXNzdWUxNjU5OTUyNzk='}, {'id': 'MDU6SXNzdWUxNjU5OTU0MjA='}, {'id': 'MDU6SXNzdWUxNjYwMDE4MTM='}, {'id': 'MDU6SXNzdWUxNjYwMDM4NDY='}, {'id': 'MDU6SXNzdWUxNjYxMzQ1NDc='}, {'id': 'MDU6SXNzdWUxNjYxMzUwNjA='}, {'id': 'MDU6SXNzdWUxNjYxNDQ5MDE='}, {'id': 'MDU6SXNzdWUxNjYxNDk3Mzc='}]}"
JavaGuide,{'totalCount': 77787},{'name': 'Java'},"{'totalCount': 375, 'nodes': [{'id': 'MDU6SXNzdWUzMjk4NjM2NzA='}, {'id': 'MDU6SXNzdWUzMzkxNTEwNDU='}, {'id': 'MDU6SXNzdWUzNDc1OTYxNDc='}, {'id': 'MDU6SXNzdWUzNTAwMDAxMzE='}, {'id': 'MDU6SXNzdWUzNTA2NjkxMjc='}, {'id': 'MDU6SXNzdWUzNTA2NzYxNDk='}, {'id': 'MDU6SXNzdWUzNTQ1MzkyNDk='}, {'id': 'MDU6SXNzdWUzNTQ2MTUyNjU='}, {'id': 'MDU6SXNzdWUzNTQ3NzMyMDM='}, {'id': 'MDU6SXNzdWUzNTUxOTEwNTg='}]}"
the-art-of-command-line,{'totalCount': 74959},,"{'totalCount': 163, 'nodes': [{'id': 'MDU6SXNzdWU4NDUyNjUwMg=='}, {'id': 'MDU6SXNzdWU4ODU1Nzc3Mg=='}, {'id': 'MDU6SXNzdWU4ODU2MjY0NA=='}, {'id': 'MDU6SXNzdWU4ODU4Mjc1Nw=='}, {'id': 'MDU6SXNzdWU4ODU4NDc3NA=='}, {'id': 'MDU6SXNzdWU4ODU4NjI1Ng=='}, {'id': 'MDU6SXNzdWU4ODYwMDU2MA=='}, {'id': 'MDU6SXNzdWU4ODYxMTgzNQ=='}, {'id': 'MDU6SXNzdWU4ODYxNzI5Ng=='}, {'id': 'MDU6SXNzdWU4ODYyODE3Nw=='}]}"
axios,{'totalCount': 72905},{'name': 'JavaScript'},"{'totalCount': 2273, 'nodes': [{'id': 'MDU6SXNzdWU0MjQ4NDY3OA=='}, {'id': 'MDU6SXNzdWU0MjY3Mzc2NQ=='}, {'id': 'MDU6SXNzdWU0MjY4MDE5OQ=='}, {'id': 'MDU6SXNzdWU0MjcxMjI5Ng=='}, {'id': 'MDU6SXNzdWU0Mjg4MTIwMg=='}, {'id': 'MDU6SXNzdWU0MjkxMTMwNw=='}, {'id': 'MDU6SXNzdWU0Mjk0OTUwMw=='}, {'id': 'MDU6SXNzdWU0MzI1NTA0Ng=='}, {'id': 'MDU6SXNzdWU0MzMyNjI5MQ=='}, {'id': 'MDU6SXNzdWU0MzUyNTQwMw=='}]}"
go,{'totalCount': 72184},{'name': 'Go'},"{'totalCount': 37615, 'nodes': [{'id': 'MDU6SXNzdWU1MTI3NTg2OA=='}, {'id': 'MDU6SXNzdWU1MTI3NTg2OQ=='}, {'id': 'MDU6SXNzdWU1MTI3NTg3MA=='}, {'id': 'MDU6SXNzdWU1MTI3NTg3MQ=='}, {'id': 'MDU6SXNzdWU1MTI3NTg3Mg=='}, {'id': 'MDU6SXNzdWU1MTI3NTg3Mw=='}, {'id': 'MDU6SXNzdWU1MTI3NTg3NQ=='}, {'id': 'MDU6SXNzdWU1MTI3NTg3Ng=='}, {'id': 'MDU6SXNzdWU1MTI3NTg3OA=='}, {'id': 'MDU6SXNzdWU1MTI3NTkyMw=='}]}"
